chromosome	IDs	expression
chr6	chr6_73537441	intergenic
chr6	chr6_73550609	intergenic
chr6	chr6_73554009	intergenic
chr6	chr6_73557282	intergenic
chr6	chr6_73557524	intergenic
chr6	chr6_73561215	intergenic
chr6	chr6_73562691	intergenic
chr6	chr6_73563430	intergenic
chr6	chr6_73568692	intergenic
chr6	chr6_73569697	intergenic
chr6	chr6_73570722	intergenic
chr6	chr6_73571370	intergenic
chr6	chr6_73574305	intergenic
chr6	chr6_73599078	intergenic
chr6	chr6_73617413	intergenic
chr6	chr6_73622092	intergenic
chr6	chr6_73623486	intergenic
chr6	chr6_73625099	intergenic
chr6	chr6_73627077	intergenic
chr6	chr6_73636096	intergenic
chr6	chr6_73637033	intergenic
chr6	chr6_73639009	intergenic
chr6	chr6_73644531	intergenic
chr6	chr6_73648503	intergenic
chr6	chr6_73649840	intergenic
chr6	chr6_73652349	intergenic
chr6	chr6_73663912	intergenic
chr6	chr6_73666232	intergenic
chr6	chr6_73666891	intergenic
chr6	chr6_73667200	intergenic
chr6	chr6_73667836	intergenic
chr6	chr6_73669620	intergenic
chr6	chr6_73673069	intergenic
chr6	MIR4282	NA
chr6	chr6_73678647	intergenic
chr6	chr6_73683240	intergenic
chr6	chr6_73684987	intergenic
chr6	chr6_73702642	intergenic
chr6	chr6_73714962	intergenic
chr6	chr6_73722872	intergenic
chr6	chr6_73726010	intergenic
chr6	chr6_73728099	intergenic
chr6	chr6_73728609	intergenic
chr6	chr6_73729561	intergenic
chr6	chr6_73729950	intergenic
chr6	chr6_73731411	intergenic
chr6	chr6_73732506	intergenic
chr6	chr6_73735686	intergenic
chr6	chr6_73743649	intergenic
chr6	chr6_73745045	intergenic
chr6	chr6_73750856	intergenic
chr6	chr6_73751052	intergenic
chr6	chr6_73753522	intergenic
chr6	chr6_73758994	intergenic
chr6	chr6_73762363	intergenic
chr6	chr6_73764713	intergenic
chr6	chr6_73771887	intergenic
chr6	chr6_73773135	intergenic
chr6	chr6_73782210	intergenic
chr6	chr6_73783523	intergenic
chr6	chr6_73789463	intergenic
chr6	chr6_73812132	intergenic
chr6	chr6_73814389	intergenic
chr6	chr6_73815632	intergenic
chr6	chr6_73818709	intergenic
chr6	chr6_73819421	intergenic
chr6	chr6_73824171	intergenic
chr6	chr6_73828953	intergenic
chr6	chr6_73830756	intergenic
chr6	chr6_73835859	intergenic
chr6	chr6_73836206	intergenic
chr6	chr6_73836753	intergenic
chr6	chr6_73837073	intergenic
chr6	chr6_73838429	intergenic
chr6	chr6_73838453	intergenic
chr6	chr6_73841334	intergenic
chr6	chr6_73842148	intergenic
chr6	chr6_73844055	intergenic
chr6	KCNQ5-AS1	stable
chr6	chr6_73854770	intergenic
chr6	chr6_73855085	intergenic
chr6	chr6_73857472	intergenic
chr6	chr6_73859136	intergenic
chr6	chr6_73881636	intergenic
chr6	chr6_73883742	intergenic
chr6	chr6_73890507	intergenic
chr6	chr6_73892079	intergenic
chr6	chr6_73899585	intergenic
chr6	chr6_73904757	intergenic
chr6	chr6_73907066	intergenic
chr6	chr6_73914032	intergenic
chr6	chr6_73927030	intergenic
chr6	chr6_73938729	intergenic
chr6	chr6_73939885	intergenic
chr6	chr6_73946089	intergenic
chr6	chr6_73955773	intergenic
chr6	chr6_73958858	intergenic
chr6	chr6_73968657	intergenic
chr6	chr6_73969781	intergenic
chr6	chr6_73974109	intergenic
chr6	chr6_73976065	intergenic
chr6	chr6_73976400	intergenic
chr6	chr6_73978149	intergenic
chr6	chr6_73986642	intergenic
chr6	chr6_73993340	intergenic
chr6	chr6_74000303	intergenic
chr6	chr6_74012199	intergenic
chr6	KHDC1	stable
chr6	chr6_74020789	intergenic
chr6	chr6_74026829	intergenic
chr6	chr6_74031436	intergenic
chr6	chr6_74034648	intergenic
chr6	chr6_74036488	intergenic
chr6	chr6_74037892	intergenic
chr6	chr6_74038218	intergenic
chr6	chr6_74039396	intergenic
chr6	chr6_74041925	intergenic
chr6	chr6_74042189	intergenic
chr6	chr6_74042228	intergenic
chr6	chr6_74053485	intergenic
chr6	chr6_74056538	intergenic
chr6	chr6_74059295	intergenic
chr6	DPPA5	stable
chr6	chr6_74076045	intergenic
chr6	OOEP-AS1	NA
chr6	chr6_74099066	intergenic
chr6	snoU13.83	NA
chr6	chr6_74112889	intergenic
chr6	chr6_74120164	intergenic
chr6	chr6_74122019	intergenic
chr6	chr6_74124417	intergenic
chr6	chr6_74125395	intergenic
chr6	chr6_74126854	intergenic
chr6	chr6_74128779	intergenic
chr6	chr6_74129953	intergenic
chr6	chr6_74133462	intergenic
chr6	chr6_74157071	intergenic
chr6	chr6_74160391	intergenic
chr6	chr6_74184825	intergenic
chr6	chr6_74185625	intergenic
chr6	chr6_74188326	intergenic
chr6	chr6_74198756	intergenic
chr6	chr6_74202227	intergenic
chr6	chr6_74206135	intergenic
chr6	chr6_74207366	intergenic
chr6	chr6_74208015	intergenic
chr6	chr6_74225477	intergenic
chr6	chr6_74226761	intergenic
chr6	chr6_74226958	intergenic
chr6	EEF1A1	stable
chr6	chr6_74234060	intergenic
chr6	chr6_74238855	intergenic
chr6	chr6_74278204	intergenic
chr6	chr6_74279717	intergenic
chr6	chr6_74280032	intergenic
chr6	chr6_74281647	intergenic
chr6	chr6_74290567	intergenic
chr6	chr6_74296653	intergenic
chr6	chr6_74312599	intergenic
chr6	chr6_74313840	intergenic
chr6	chr6_74316402	intergenic
chr6	chr6_74326727	intergenic
chr6	chr6_74329101	intergenic
chr6	chr6_74334671	intergenic
chr6	chr6_74341377	intergenic
chr6	chr6_74342155	intergenic
chr6	chr6_74342472	intergenic
chr6	chr6_74351909	intergenic
chr6	chr6_74356927	intergenic
chr6	SLC17A5	stable
chr6	chr6_74364871	intergenic
chr6	chr6_74367038	intergenic
chr6	chr6_74371480	intergenic
chr6	chr6_74376825	intergenic
chr6	chr6_74381151	intergenic
chr6	chr6_74382258	intergenic
chr6	chr6_74386038	intergenic
chr6	chr6_74390056	intergenic
chr6	chr6_74392715	intergenic
chr6	chr6_74394023	intergenic
chr6	chr6_74395087	intergenic
chr6	chr6_74395737	intergenic
chr6	chr6_74398436	intergenic
chr6	chr6_74401102	intergenic
chr6	CD109	up
chr6	chr6_74406776	intergenic
chr6	chr6_74413506	intergenic
chr6	chr6_74415043	intergenic
chr6	chr6_74419454	intergenic
chr6	chr6_74426491	intergenic
chr6	chr6_74428374	intergenic
chr6	chr6_74429660	intergenic
chr6	chr6_74431936	intergenic
chr6	chr6_74435649	intergenic
chr6	chr6_74436533	intergenic
chr6	chr6_74440409	intergenic
chr6	chr6_74458904	intergenic
chr6	chr6_74469224	intergenic
chr6	chr6_74473245	intergenic
chr6	chr6_74473678	intergenic
chr6	chr6_74481483	intergenic
chr6	chr6_74483151	intergenic
chr6	chr6_74494993	intergenic
chr6	chr6_74496931	intergenic
chr6	chr6_74506663	intergenic
chr6	chr6_74507160	intergenic
chr6	chr6_74511544	intergenic
chr6	chr6_74519457	intergenic
chr6	chr6_74533326	intergenic
chr6	chr6_74538099	intergenic
chr6	chr6_74554726	intergenic
chr6	chr6_74563461	intergenic
chr6	chr6_74564140	intergenic
chr6	chr6_74565716	intergenic
chr6	chr6_74566461	intergenic
chr6	chr6_74575094	intergenic
chr6	chr6_74673834	intergenic
chr6	chr6_75844773	intergenic
chr6	chr6_75846158	intergenic
chr6	chr6_75848476	intergenic
chr6	chr6_75853568	intergenic
chr6	chr6_75863188	intergenic
chr6	chr6_75864351	intergenic
chr6	chr6_75865996	intergenic
chr6	chr6_75869586	intergenic
chr6	chr6_75878725	intergenic
chr6	chr6_75882386	intergenic
chr6	chr6_75888709	intergenic
chr6	COL12A1	stable
chr6	chr6_75916838	intergenic
chr6	chr6_75919782	intergenic
chr6	chr6_75922991	intergenic
chr6	chr6_75927464	intergenic
chr6	chr6_75950629	intergenic
chr6	chr6_75953762	intergenic
chr6	COX7A2	up
chr6	chr6_75960735	intergenic
chr6	chr6_75960792	intergenic
chr6	chr6_75965068	intergenic
chr6	chr6_75965253	intergenic
chr6	chr6_75968810	intergenic
chr6	chr6_75976993	intergenic
chr6	chr6_75980538	intergenic
chr6	TMEM30A	stable
chr6	chr6_76005025	intergenic
chr6	chr6_76005382	intergenic
chr6	chr6_76012158	intergenic
chr6	chr6_76012913	intergenic
chr6	chr6_76020569	intergenic
chr6	chr6_76026739	intergenic
chr6	chr6_76027037	intergenic
chr6	chr6_76031156	intergenic
chr6	chr6_76034822	intergenic
chr6	chr6_76035565	intergenic
chr6	chr6_76036234	intergenic
chr6	chr6_76038860	intergenic
chr6	chr6_76039178	intergenic
chr6	chr6_76039344	intergenic
chr6	chr6_76042660	intergenic
chr6	chr6_76042945	intergenic
chr6	chr6_76045138	intergenic
chr6	chr6_76047420	intergenic
chr6	chr6_76052585	intergenic
chr6	chr6_76056126	intergenic
chr6	chr6_76057545	intergenic
chr6	chr6_76057903	intergenic
chr6	chr6_76064583	intergenic
chr6	chr6_76072292	intergenic
chr6	chr6_76073327	intergenic
chr6	chr6_76078494	intergenic
chr6	chr6_76092462	intergenic
chr6	chr6_76099708	intergenic
chr6	chr6_76105595	intergenic
chr6	U3.45	NA
chr6	chr6_76111436	intergenic
chr6	chr6_76115593	intergenic
chr6	chr6_76126832	intergenic
chr6	chr6_76132942	intergenic
chr6	chr6_76133914	intergenic
chr6	MIR4463	NA
chr6	chr6_76139117	intergenic
chr6	chr6_76140349	intergenic
chr6	chr6_76146116	intergenic
chr6	chr6_76147133	intergenic
chr6	chr6_76154408	intergenic
chr6	chr6_76155011	intergenic
chr6	chr6_76158238	intergenic
chr6	chr6_76172044	intergenic
chr6	chr6_76176809	intergenic
chr6	chr6_76177429	intergenic
chr6	chr6_76177726	intergenic
chr6	U1.36	NA
chr6	chr6_76191236	intergenic
chr6	chr6_76194251	intergenic
chr6	chr6_76196106	intergenic
chr6	chr6_76196815	intergenic
chr6	chr6_76201951	intergenic
chr6	FILIP1	stable
chr6	chr6_76211969	intergenic
chr6	chr6_76213574	intergenic
chr6	chr6_76219089	intergenic
chr6	chr6_76220879	intergenic
chr6	chr6_76222251	intergenic
chr6	chr6_76223019	intergenic
chr6	chr6_76227404	intergenic
chr6	chr6_76228740	intergenic
chr6	chr6_76234284	intergenic
chr6	chr6_76235398	intergenic
chr6	chr6_76238758	intergenic
chr6	chr6_76240245	intergenic
chr6	chr6_76243603	intergenic
chr6	chr6_76245438	intergenic
chr6	chr6_76246982	intergenic
chr6	chr6_76251408	intergenic
chr6	chr6_76254129	intergenic
chr6	chr6_76259268	intergenic
chr6	chr6_76266327	intergenic
chr6	chr6_76272395	intergenic
chr6	chr6_76273515	intergenic
chr6	chr6_76274052	intergenic
chr6	chr6_76280537	intergenic
chr6	chr6_76282636	intergenic
chr6	chr6_76283077	intergenic
chr6	chr6_76293016	intergenic
chr6	U6.1002	NA
chr6	chr6_76312908	intergenic
chr6	chr6_76313266	intergenic
chr6	chr6_76313615	intergenic
chr6	chr6_76321178	intergenic
chr6	chr6_76329830	intergenic
chr6	chr6_76330420	intergenic
chr6	chr6_76350523	intergenic
chr6	chr6_76351155	intergenic
chr6	U6.1086	NA
chr6	chr6_76358385	intergenic
chr6	chr6_76363131	intergenic
chr6	chr6_76364027	intergenic
chr6	chr6_76366229	intergenic
chr6	chr6_76366849	intergenic
chr6	chr6_76366892	intergenic
chr6	chr6_76375088	intergenic
chr6	chr6_76385216	intergenic
chr6	chr6_76401892	intergenic
chr6	chr6_76403541	intergenic
chr6	chr6_76407114	intergenic
chr6	chr6_76409706	intergenic
chr6	chr6_76410688	intergenic
chr6	chr6_76413763	intergenic
chr6	chr6_76420460	intergenic
chr6	chr6_76424386	intergenic
chr6	chr6_76426184	intergenic
chr6	chr6_76435365	intergenic
chr6	chr6_76435733	intergenic
chr6	chr6_76436775	intergenic
chr6	chr6_76439234	intergenic
chr6	chr6_76440486	intergenic
chr6	chr6_76440685	intergenic
chr6	chr6_76441953	intergenic
chr6	chr6_76443027	intergenic
chr6	chr6_76447524	intergenic
chr6	MYO6	stable
chr6	chr6_76466517	intergenic
chr6	chr6_76467904	intergenic
chr6	chr6_76468087	intergenic
chr6	chr6_76474885	intergenic
chr6	chr6_76477092	intergenic
chr6	chr6_76478654	intergenic
chr6	chr6_76479214	intergenic
chr6	chr6_76479904	intergenic
chr6	chr6_76480336	intergenic
chr6	chr6_76483348	intergenic
chr6	chr6_76494990	intergenic
chr6	chr6_76495414	intergenic
chr6	chr6_76499319	intergenic
chr6	chr6_76504124	intergenic
chr6	chr6_76505057	intergenic
chr6	chr6_76508266	intergenic
chr6	chr6_76512969	intergenic
chr6	chr6_76519435	intergenic
chr6	chr6_76519855	intergenic
chr6	chr6_76539500	intergenic
chr6	chr6_76542566	intergenic
chr6	chr6_76543820	intergenic
chr6	chr6_76555716	intergenic
chr6	chr6_76558171	intergenic
chr6	chr6_76559739	intergenic
chr6	snoU13.404	NA
chr6	chr6_76577395	intergenic
chr6	chr6_76577905	intergenic
chr6	chr6_76582072	intergenic
chr6	chr6_76582464	intergenic
chr6	chr6_76582930	intergenic
chr6	chr6_76584219	intergenic
chr6	chr6_76585878	intergenic
chr6	chr6_76586593	intergenic
chr6	chr6_76587511	intergenic
chr6	chr6_76599739	intergenic
chr6	chr6_76603846	intergenic
chr6	chr6_76604185	intergenic
chr6	chr6_76606882	intergenic
chr6	chr6_76613704	intergenic
chr6	chr6_76615619	intergenic
chr6	chr6_76620257	intergenic
chr6	chr6_76625718	intergenic
chr6	chr6_76626380	intergenic
chr6	chr6_76628450	intergenic
chr6	chr6_76629367	intergenic
chr6	chr6_76636986	intergenic
chr6	chr6_76639890	intergenic
chr6	chr6_76642863	intergenic
chr6	chr6_76645146	intergenic
chr6	chr6_76656161	intergenic
chr6	chr6_76702277	intergenic
chr6	chr6_76716504	intergenic
chr6	chr6_76718557	intergenic
chr6	chr6_76751626	intergenic
chr6	chr6_76756597	intergenic
chr6	chr6_76769670	intergenic
chr6	IMPG1	stable
chr6	chr6_76788660	intergenic
chr6	chr6_76798621	intergenic
chr6	chr6_77090152	intergenic
chr6	chr6_77111857	intergenic
chr6	chr6_77124012	intergenic
chr6	chr6_77128781	intergenic
chr6	chr6_77131477	intergenic
chr6	chr6_77132546	intergenic
chr6	chr6_77133124	intergenic
chr6	chr6_77133713	intergenic
chr6	chr6_77134193	intergenic
chr6	chr6_77137803	intergenic
chr6	chr6_77139572	intergenic
chr6	chr6_77141915	intergenic
chr6	chr6_77145834	intergenic
chr6	chr6_77147686	intergenic
chr6	U6.886	NA
chr6	chr6_77159624	intergenic
chr6	chr6_77162445	intergenic
chr6	chr6_77170127	intergenic
chr6	chr6_77179039	intergenic
chr6	chr6_78002801	intergenic
chr6	chr6_78009698	intergenic
chr6	chr6_78028279	intergenic
chr6	chr6_78034733	intergenic
chr6	chr6_78043360	intergenic
chr6	chr6_78064302	intergenic
chr6	chr6_78067836	intergenic
chr6	chr6_78072089	intergenic
chr6	chr6_78073438	intergenic
chr6	chr6_78075135	intergenic
chr6	chr6_78076174	intergenic
chr6	chr6_78084726	intergenic
chr6	chr6_78087654	intergenic
chr6	chr6_78089028	intergenic
chr6	chr6_78095607	intergenic
chr6	chr6_78096966	intergenic
chr6	chr6_78105681	intergenic
chr6	chr6_78109175	intergenic
chr6	chr6_78112975	intergenic
chr6	chr6_78115719	intergenic
chr6	chr6_78126592	intergenic
chr6	chr6_78127024	intergenic
chr6	chr6_78127288	intergenic
chr6	chr6_78127642	intergenic
chr6	chr6_78129753	intergenic
chr6	chr6_78134751	intergenic
chr6	chr6_78141589	intergenic
chr6	chr6_78142387	intergenic
chr6	chr6_78153810	intergenic
chr6	chr6_78153820	intergenic
chr6	chr6_78159880	intergenic
chr6	chr6_78163179	intergenic
chr6	HTR1B	NA
chr6	chr6_78179255	intergenic
chr6	chr6_78202557	intergenic
chr6	chr6_78204199	intergenic
chr6	chr6_78206351	intergenic
chr6	chr6_78206967	intergenic
chr6	chr6_78208887	intergenic
chr6	chr6_78215626	intergenic
chr6	chr6_78217758	intergenic
chr6	chr6_78226776	intergenic
chr6	chr6_78231932	intergenic
chr6	chr6_78234750	intergenic
chr6	chr6_78248342	intergenic
chr6	chr6_78254821	intergenic
chr6	chr6_78262456	intergenic
chr6	chr6_78264598	intergenic
chr6	chr6_78267448	intergenic
chr6	chr6_78268210	intergenic
chr6	chr6_78270701	intergenic
chr6	chr6_78273671	intergenic
chr6	chr6_78276217	intergenic
chr6	chr6_78336380	intergenic
chr6	chr6_78342553	intergenic
chr6	chr6_78584669	intergenic
chr6	chr6_78590497	intergenic
chr6	chr6_78596816	intergenic
chr6	chr6_78603603	intergenic
chr6	chr6_78608780	intergenic
chr6	chr6_78609766	intergenic
chr6	chr6_78611420	intergenic
chr6	chr6_78622618	intergenic
chr6	chr6_78630006	intergenic
chr6	chr6_78631339	intergenic
chr6	chr6_78635887	intergenic
chr6	chr6_78636830	intergenic
chr6	SNORD112.46	NA
chr6	chr6_78655624	intergenic
chr6	chr6_78658207	intergenic
chr6	chr6_78660723	intergenic
chr6	chr6_78673354	intergenic
chr6	chr6_78677195	intergenic
chr6	chr6_78690055	intergenic
chr6	chr6_78693243	intergenic
chr6	chr6_78695887	intergenic
chr6	chr6_78708992	intergenic
chr6	chr6_78750333	intergenic
chr6	chr6_79520092	intergenic
chr6	chr6_79529134	intergenic
chr6	chr6_79533659	intergenic
chr6	chr6_79541425	intergenic
chr6	chr6_79545559	intergenic
chr6	chr6_79552061	intergenic
chr6	chr6_79553704	intergenic
chr6	chr6_79557367	intergenic
chr6	chr6_79562370	intergenic
chr6	chr6_79563068	intergenic
chr6	IRAK1BP1	stable
chr6	chr6_79581666	intergenic
chr6	chr6_79588576	intergenic
chr6	chr6_79590989	intergenic
chr6	chr6_79591220	intergenic
chr6	chr6_79604269	intergenic
chr6	chr6_79614014	intergenic
chr6	chr6_79617188	intergenic
chr6	chr6_79617206	intergenic
chr6	chr6_79619093	intergenic
chr6	chr6_79623819	intergenic
chr6	chr6_79627002	intergenic
chr6	chr6_79634425	intergenic
chr6	chr6_79643696	intergenic
chr6	chr6_79652282	intergenic
chr6	chr6_79655330	intergenic
chr6	chr6_79655664	intergenic
chr6	chr6_79659297	intergenic
chr6	chr6_79667369	intergenic
chr6	chr6_79679242	intergenic
chr6	chr6_79684880	intergenic
chr6	chr6_79690295	intergenic
chr6	chr6_79695801	intergenic
chr6	chr6_79696233	intergenic
chr6	chr6_79697595	intergenic
chr6	chr6_79699942	intergenic
chr6	chr6_79703172	intergenic
chr6	chr6_79704466	intergenic
chr6	chr6_79710797	intergenic
chr6	chr6_79715643	intergenic
chr6	chr6_79729324	intergenic
chr6	chr6_79736276	intergenic
chr6	chr6_79737032	intergenic
chr6	chr6_79743015	intergenic
chr6	chr6_79743814	intergenic
chr6	chr6_79744278	intergenic
chr6	chr6_79744743	intergenic
chr6	chr6_79745010	intergenic
chr6	chr6_79745865	intergenic
chr6	chr6_79751944	intergenic
chr6	chr6_79752832	intergenic
chr6	chr6_79753383	intergenic
chr6	chr6_79755600	intergenic
chr6	chr6_79762721	intergenic
chr6	chr6_79765652	intergenic
chr6	chr6_79772401	intergenic
chr6	chr6_79779013	intergenic
chr6	chr6_79779184	intergenic
chr6	chr6_79779566	intergenic
chr6	chr6_79783640	intergenic
chr6	PHIP	stable
chr6	chr6_79788897	intergenic
chr6	chr6_79792908	intergenic
chr6	chr6_79797507	intergenic
chr6	chr6_79808146	intergenic
chr6	chr6_79808356	intergenic
chr6	chr6_79813762	intergenic
chr6	chr6_79814485	intergenic
chr6	chr6_79814633	intergenic
chr6	chr6_79819868	intergenic
chr6	chr6_79822963	intergenic
chr6	chr6_79825910	intergenic
chr6	chr6_79833615	intergenic
chr6	chr6_79850417	intergenic
chr6	chr6_79880025	intergenic
chr6	chr6_79880890	intergenic
chr6	chr6_79899976	intergenic
chr6	chr6_79900317	intergenic
chr6	chr6_79902092	intergenic
chr6	chr6_79906349	intergenic
chr6	chr6_79913623	intergenic
chr6	chr6_79913864	intergenic
chr6	chr6_79914625	intergenic
chr6	chr6_79914868	intergenic
chr6	chr6_79916184	intergenic
chr6	chr6_79917497	intergenic
chr6	chr6_79918693	intergenic
chr6	chr6_79923052	intergenic
chr6	chr6_79923875	intergenic
chr6	chr6_79926187	intergenic
chr6	chr6_79927505	intergenic
chr6	chr6_79934794	intergenic
chr6	chr6_79937026	intergenic
chr6	chr6_79941819	intergenic
chr6	HMGN3	stable
chr6	chr6_79946519	intergenic
chr6	chr6_79948398	intergenic
chr6	chr6_79967671	intergenic
chr6	chr6_79969907	intergenic
chr6	chr6_79986443	intergenic
chr6	chr6_80002219	intergenic
chr6	chr6_80004305	intergenic
chr6	chr6_80041357	intergenic
chr6	chr6_80052127	intergenic
chr6	chr6_80103754	intergenic
chr6	chr6_80105715	intergenic
chr6	chr6_80114266	intergenic
chr6	chr6_80123528	intergenic
chr6	chr6_80124467	intergenic
chr6	chr6_80126280	intergenic
chr6	chr6_80134625	intergenic
chr6	chr6_80136663	intergenic
chr6	chr6_80137012	intergenic
chr6	chr6_80137442	intergenic
chr6	chr6_80141325	intergenic
chr6	chr6_80143914	intergenic
chr6	chr6_80145422	intergenic
chr6	chr6_80146667	intergenic
chr6	chr6_80148320	intergenic
chr6	chr6_80148749	intergenic
chr6	chr6_80155396	intergenic
chr6	chr6_80180138	intergenic
chr6	chr6_80191198	intergenic
chr6	chr6_80192210	intergenic
chr6	chr6_80192254	intergenic
chr6	chr6_80193518	intergenic
chr6	chr6_80196008	intergenic
chr6	chr6_80206486	intergenic
chr6	chr6_80209026	intergenic
chr6	chr6_80210365	intergenic
chr6	chr6_80216734	intergenic
chr6	chr6_80218506	intergenic
chr6	chr6_80219405	intergenic
chr6	chr6_80219709	intergenic
chr6	LCA5	stable
chr6	chr6_80248106	intergenic
chr6	chr6_80253273	intergenic
chr6	chr6_80254809	intergenic
chr6	chr6_80255996	intergenic
chr6	chr6_80266292	intergenic
chr6	chr6_80272649	intergenic
chr6	chr6_80274633	intergenic
chr6	chr6_80278876	intergenic
chr6	chr6_80295530	intergenic
chr6	chr6_80303831	intergenic
chr6	chr6_80312978	intergenic
chr6	chr6_80322359	intergenic
chr6	chr6_80325172	intergenic
chr6	chr6_80334397	intergenic
chr6	chr6_80336864	intergenic
chr6	chr6_80340211	intergenic
chr6	SH3BGRL2	stable
chr6	chr6_80343630	intergenic
chr6	chr6_80347605	intergenic
chr6	chr6_80350085	intergenic
chr6	chr6_80354263	intergenic
chr6	chr6_80354443	intergenic
chr6	chr6_80355677	intergenic
chr6	chr6_80363591	intergenic
chr6	chr6_80364383	intergenic
chr6	chr6_80365086	intergenic
chr6	chr6_80372665	intergenic
chr6	chr6_80375359	intergenic
chr6	chr6_80375565	intergenic
chr6	chr6_80386963	intergenic
chr6	chr6_80391115	intergenic
chr6	chr6_80398652	intergenic
chr6	chr6_80403445	intergenic
chr6	chr6_80404885	intergenic
chr6	chr6_80405061	intergenic
chr6	chr6_80406842	intergenic
chr6	chr6_80412013	intergenic
chr6	chr6_80416996	intergenic
chr6	chr6_80422876	intergenic
chr6	chr6_80429083	intergenic
chr6	chr6_80429185	intergenic
chr6	chr6_80431712	intergenic
chr6	chr6_80434358	intergenic
chr6	chr6_80435571	intergenic
chr6	chr6_80435973	intergenic
chr6	chr6_80437459	intergenic
chr6	chr6_80437914	intergenic
chr6	chr6_80440314	intergenic
chr6	chr6_80442755	intergenic
chr6	chr6_80445788	intergenic
chr6	chr6_80448332	intergenic
chr6	chr6_80456605	intergenic
chr6	chr6_80462680	intergenic
chr6	chr6_80463405	intergenic
chr6	chr6_80469030	intergenic
chr6	chr6_80472502	intergenic
chr6	chr6_80475639	intergenic
chr6	chr6_80482036	intergenic
chr6	chr6_80484760	intergenic
chr6	chr6_80491476	intergenic
chr6	chr6_80491889	intergenic
chr6	chr6_80495552	intergenic
chr6	chr6_80501098	intergenic
chr6	chr6_80504743	intergenic
chr6	chr6_80505461	intergenic
chr6	chr6_80511333	intergenic
chr6	chr6_80515518	intergenic
chr6	chr6_80519610	intergenic
chr6	chr6_80520778	intergenic
chr6	chr6_80522060	intergenic
chr6	chr6_80528242	intergenic
chr6	chr6_80535225	intergenic
chr6	chr6_80540192	intergenic
chr6	chr6_80550848	intergenic
chr6	chr6_80566711	intergenic
chr6	chr6_80567592	intergenic
chr6	chr6_80567947	intergenic
chr6	chr6_80569734	intergenic
chr6	chr6_80575579	intergenic
chr6	chr6_80583689	intergenic
chr6	chr6_80595974	intergenic
chr6	chr6_80597341	intergenic
chr6	chr6_80598394	intergenic
chr6	chr6_80599158	intergenic
chr6	chr6_80606467	intergenic
chr6	chr6_80610172	intergenic
chr6	chr6_80612074	intergenic
chr6	chr6_80618864	intergenic
chr6	chr6_80624376	intergenic
chr6	chr6_80628213	intergenic
chr6	chr6_80628399	intergenic
chr6	chr6_80632378	intergenic
chr6	chr6_80632656	intergenic
chr6	chr6_80641805	intergenic
chr6	chr6_80644989	intergenic
chr6	chr6_80648019	intergenic
chr6	chr6_80649866	intergenic
chr6	ELOVL4	stable
chr6	chr6_80663529	intergenic
chr6	chr6_80664823	intergenic
chr6	chr6_80665086	intergenic
chr6	chr6_80667734	intergenic
chr6	chr6_80670020	intergenic
chr6	chr6_80671347	intergenic
chr6	chr6_80676753	intergenic
chr6	chr6_80685189	intergenic
chr6	chr6_80690752	intergenic
chr6	chr6_80691239	intergenic
chr6	chr6_80691506	intergenic
chr6	chr6_80691781	intergenic
chr6	chr6_80696139	intergenic
chr6	chr6_80704892	intergenic
chr6	chr6_80705738	intergenic
chr6	chr6_80708819	intergenic
chr6	TTK	up
chr6	chr6_80715669	intergenic
chr6	chr6_80719628	intergenic
chr6	chr6_80721943	intergenic
chr6	chr6_80722469	intergenic
chr6	chr6_80730402	intergenic
chr6	chr6_80731904	intergenic
chr6	chr6_80737737	intergenic
chr6	chr6_80737916	intergenic
chr6	chr6_80740903	intergenic
chr6	chr6_80741990	intergenic
chr6	chr6_80743740	intergenic
chr6	chr6_80748907	intergenic
chr6	chr6_80749732	intergenic
chr6	chr6_80750847	intergenic
chr6	chr6_80751661	intergenic
chr6	chr6_80753841	intergenic
chr6	chr6_80754427	intergenic
chr6	chr6_80757140	intergenic
chr6	chr6_80762349	intergenic
chr6	chr6_80769038	intergenic
chr6	chr6_80769432	intergenic
chr6	chr6_80779310	intergenic
chr6	chr6_80781890	intergenic
chr6	chr6_80782111	intergenic
chr6	chr6_80788765	intergenic
chr6	chr6_80795526	intergenic
chr6	chr6_80797282	intergenic
chr6	chr6_80803391	intergenic
chr6	chr6_80807125	intergenic
chr6	chr6_80808052	intergenic
chr6	chr6_80809398	intergenic
chr6	chr6_80810461	intergenic
chr6	chr6_80813660	intergenic
chr6	BCKDHB	stable
chr6	chr6_80836517	intergenic
chr6	chr6_80837085	intergenic
chr6	chr6_80844283	intergenic
chr6	chr6_80846242	intergenic
chr6	chr6_80850391	intergenic
chr6	chr6_80853388	intergenic
chr6	chr6_80862186	intergenic
chr6	chr6_80862221	intergenic
chr6	chr6_80865927	intergenic
chr6	chr6_80866531	intergenic
chr6	chr6_80867717	intergenic
chr6	chr6_80869364	intergenic
chr6	chr6_80869787	intergenic
chr6	chr6_80873026	intergenic
chr6	chr6_80879050	intergenic
chr6	chr6_80879305	intergenic
chr6	chr6_80879392	intergenic
chr6	chr6_80879540	intergenic
chr6	chr6_80881713	intergenic
chr6	chr6_80883103	intergenic
chr6	chr6_80887989	intergenic
chr6	chr6_80891376	intergenic
chr6	chr6_80892183	intergenic
chr6	chr6_80896382	intergenic
chr6	chr6_80899856	intergenic
chr6	chr6_80900078	intergenic
chr6	chr6_80902418	intergenic
